Keuwl Accelerometer Data File
2019-05-06 18-33-32

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
224.8276215,1.058237,-14.924256,-16.092627,21.973301,137.085602,274.055908
224.8361664,2.258929,-15.164873,-14.574703,21.154152,133.549103,278.472382
224.8459778,2.877831,-15.823279,-11.496957,19.769627,125.559387,280.307892
224.8560638,3.544616,-17.387890,-8.956709,19.877768,116.781494,281.522186
224.8660889,4.944026,-19.063831,-6.454768,20.725277,108.146286,284.538818
224.8758545,5.406107,-20.222624,-2.761712,21.114157,97.515770,284.966888
224.8860168,4.845864,-20.576967,1.529895,21.195154,85.860710,283.251678
224.8958282,3.664326,-21.182699,4.759673,22.017914,77.515663,279.814270
224.9059753,2.299631,-22.039824,6.410475,23.068079,73.865463,275.956665
224.9160461,1.543063,-22.710199,7.462727,23.954676,71.848221,273.887024
224.9262695,0.769736,-23.402124,8.817844,25.020117,69.363968,271.883881
224.9364014,-1.292869,-24.350229,10.907983,26.713091,65.899498,266.960754
224.9458313,-3.804387,-24.580072,12.938266,28.036619,62.517517,261.201843
224.9560394,-4.788404,-22.190659,14.553155,26.965691,57.337360,257.823151
224.9660492,-4.748899,-18.521544,15.478514,24.600487,51.009212,255.619232
224.9764099,-4.426879,-14.311340,14.592659,20.913092,45.751137,252.811768
224.9858856,-3.478775,-11.040861,10.647015,15.727727,47.393593,252.511307
224.9959717,-2.603694,-9.612720,4.649539,10.990988,64.973839,254.844543
225.0061493,-1.878251,-9.563639,-3.757699,10.445637,111.084145,258.888824
225.0158997,-1.935712,-9.609129,-9.707291,13.795427,134.721390,258.610474
225.0260315,-2.024297,-9.458294,-10.712855,14.433376,137.921555,257.919617
225.0361023,-1.040281,-9.607931,-3.909731,10.424995,112.026436,263.820496
225.0459900,0.246603,-8.580819,4.333505,9.616160,63.214722,271.646149
225.0562439,1.083376,-6.239290,7.352593,9.703766,40.737694,279.850494
225.0658722,2.219425,-3.113659,6.736086,7.745682,29.581198,305.481384
225.0760498,2.643199,-0.578200,6.107608,6.680097,23.893585,347.660919
225.0858459,2.014721,1.306037,7.216124,7.605083,18.403730,32.953213
225.0959778,0.288501,2.529474,9.184157,9.530489,15.493523,83.493202
225.1062775,-1.480814,3.306392,10.614694,11.215916,18.845039,114.125885
225.1158600,-2.770091,3.306392,10.839748,11.666438,21.698927,129.956238
225.1260529,-3.428497,3.526659,10.691308,11.768432,24.704756,134.191406
225.1359406,-3.428497,3.172317,9.934740,10.978035,25.181400,137.222549
225.1459656,-3.548207,2.531868,9.703699,10.637758,24.189669,144.489761
225.1561432,-3.216610,1.863886,9.694122,10.382517,20.981396,149.909561
225.1658630,-3.216610,0.942118,9.694122,10.257201,19.072815,163.675125
225.1760254,-2.803610,-0.154426,8.752005,9.191391,17.787533,183.152725
225.1858521,-1.774103,-1.165976,6.414066,6.756270,18.313745,213.313721
225.1959534,-1.687912,-3.379416,-4.396951,5.796782,139.333542,243.459305
225.2064362,-2.670732,-9.068039,-20.129251,22.238457,154.844177,253.589172
225.2161255,-0.204704,-17.654844,-20.129251,26.775402,138.744934,269.335693
225.2259521,-2.929306,-27.187357,-19.093758,33.351234,124.925110,263.850372
225.2364197,-4.672285,-27.692533,-20.338743,34.675224,125.912544,260.423248
225.2458649,-2.936488,-20.676327,-16.807297,26.807064,128.827118,261.916809
225.2561188,-0.948104,-13.182474,-11.461043,17.493773,130.931015,265.886292
225.2663269,0.447716,-8.443152,-9.209297,12.501937,137.445099,273.035400
225.2758636,0.192733,-7.873333,-7.123947,10.619658,132.130875,271.402283
225.2860413,0.752976,-12.173319,-1.084573,12.244712,95.081627,273.539490
225.2959137,1.759738,-18.618509,6.179435,19.695965,71.715164,275.399292
225.3061829,-0.737414,-21.632809,7.723695,22.982117,70.362129,268.047668
225.3168488,-4.037821,-18.276138,3.400964,19.023348,79.701385,257.541534
225.3261871,-6.021417,-11.876437,1.255759,13.374758,84.612549,243.114746
225.3361816,-7.151481,-6.017826,2.853889,9.772543,73.020393,220.079926
225.3459167,-7.609970,-1.912967,4.086902,8.847251,62.487614,194.110443
225.3562164,-8.470686,-1.653196,9.291897,12.681677,42.886559,191.043411
225.3662415,-8.816648,-4.345476,14.765042,17.737614,33.652454,206.237381
225.3762360,-7.079654,-6.491878,14.349648,17.267841,33.797974,222.520096
225.3859558,-4.261679,-7.955932,11.789049,14.847237,37.436916,241.823807
225.3964081,-2.020706,-9.233239,10.035296,13.785613,43.284828,257.655365
225.4059906,-0.824802,-10.946290,8.580819,13.933126,51.985752,265.690918
225.4160614,-0.763750,-12.856863,6.569689,14.458321,62.974426,266.600403
225.4262238,-1.001973,-15.587450,5.414487,16.531462,70.881302,266.322052
225.4358368,-0.918176,-16.820463,4.952406,17.558399,73.617203,266.875519
225.4458466,-0.647632,-16.832436,4.382586,17.405672,75.416496,267.796631
225.4558411,-0.177171,-18.610130,2.229002,18.743980,83.170326,269.454559
225.4658356,0.785298,-18.923771,-0.090980,18.940277,90.275223,272.376282
225.4775848,1.136049,-17.572243,-0.895431,17.631680,92.911041,273.699036
225.4858093,1.766921,-15.459360,-1.136049,15.601424,94.175804,276.520294
225.4959259,3.290830,-12.707226,-1.205481,13.181666,95.247108,284.519104
225.5060272,4.765658,-8.814254,4.888960,11.149193,63.991566,298.399048
225.5161743,5.260061,-6.078878,6.217742,10.162742,52.278973,310.869690
225.5273590,5.276821,-6.247669,3.541024,8.911625,66.587448,310.184662
225.5358429,4.884171,-7.666234,-0.004788,9.089901,90.030182,302.501282
225.5461426,4.438850,-8.854955,-3.154361,10.395365,107.664284,296.623901
225.5560913,3.682282,-8.761581,-5.388151,10.925049,119.550621,292.795837
225.5661774,2.735375,-7.382521,-5.894525,9.835106,126.822296,290.330688
225.5783234,1.829170,-5.752069,-4.818331,7.723243,128.599594,287.640778
225.5859680,1.088165,-4.823119,-3.608062,6.120841,126.119522,282.713867
225.5959778,0.244209,-5.276821,-2.875436,6.014367,118.561035,272.649719
225.6064301,-0.527921,-6.715736,-2.245761,7.100933,108.437065,265.505249
225.6158752,-1.073799,-8.242040,-1.557428,8.456349,100.612900,262.577118
225.6274872,-1.513135,-9.618706,-0.945710,9.782814,95.547478,261.059967
225.6362152,-1.695095,-10.691308,-0.525527,10.837601,92.779427,260.990814
225.6459961,-1.623269,-11.222820,-0.290895,11.343338,91.469490,261.769806
225.6560364,-1.423353,-11.104307,-0.248997,11.197927,91.274132,262.695648
225.6660767,-1.562217,-10.832565,-0.403423,10.952065,92.110985,261.793671
225.6758728,-3.123236,-11.299435,-1.794454,11.859674,98.702690,254.548859
225.6861420,-5.363012,-12.712014,-3.477578,14.228519,104.146912,247.125839
225.6958313,-5.256470,-14.101848,-2.975993,15.341092,101.185631,249.557037
225.7059784,-2.905364,-14.478935,-2.420538,14.964616,99.308533,258.653625
225.7166138,-0.077812,-14.377181,-2.879028,14.662817,101.323532,269.689911
225.7272339,2.381034,-14.045585,-4.742914,15.014759,108.414154,279.621429
225.7364197,3.797204,-14.167688,-8.467094,16.936169,119.996132,285.003723
225.7480316,3.435679,-15.667656,-11.389217,19.672153,125.376816,282.368317
225.7561798,3.296816,-16.693571,-10.837354,20.174057,122.492729,281.171600
225.7662659,3.460819,-16.788143,-8.643068,19.196917,116.758575,281.648163
225.7799683,3.489549,-16.912642,-6.734890,18.535725,111.305855,281.658112
225.7860107,3.732560,-17.271770,-5.652710,18.552607,107.739243,282.194519
225.7958527,3.737349,-17.654844,-3.533842,18.388838,101.079636,281.952484
225.8068237,2.955642,-17.565062,0.486023,17.818626,88.436996,279.551575
225.8159485,1.708263,-17.658434,4.060566,18.199633,77.108086,275.525543
225.8260345,0.281319,-18.544289,5.870583,19.453367,72.435623,270.869110
225.8360443,-1.040281,-19.966446,6.329072,20.971369,72.434502,267.017517
225.8458099,-1.789666,-21.125238,5.905299,22.007980,74.435364,265.157654
225.8564148,-2.934094,-21.965603,5.573701,22.850882,75.882202,262.391663
225.8665771,-4.794389,-22.723368,6.138733,24.021275,75.193581,258.085938
225.8758850,-6.746861,-22.535423,7.794323,24.781382,71.667961,253.332870
225.8858795,-8.561666,-21.365856,10.484209,25.292698,65.511208,248.163177
225.8963013,-8.779537,-18.015171,12.003330,23.360363,59.080502,244.018112
225.9061737,-7.396886,-14.053964,11.240777,19.457207,54.709808,242.241257
225.9161530,-5.084087,-11.054029,7.892486,14.502788,57.029663,245.300842
225.9261017,-2.603694,-9.661801,2.292448,10.265718,77.096420,254.918015
225.9360352,-0.566229,-8.888474,-1.376666,9.012258,98.786606,266.354980
225.9459686,0.502782,-8.531737,-3.296816,9.160367,111.094048,273.372589
225.9561615,0.593762,-8.643068,-4.820725,9.914362,119.093521,273.929932
225.9661713,0.932542,-9.126697,-4.558560,10.244349,116.422241,275.834076
225.9761047,1.197101,-9.464279,1.719037,9.693334,79.785011,277.208832
225.9860229,1.807622,-7.817069,8.519767,11.703012,43.281193,283.020233
225.9960632,2.242170,-4.704607,8.960299,10.365694,30.183607,295.482025
226.0060272,1.995567,-1.753753,6.465542,6.990077,22.337664,318.690216
226.0161591,1.301249,0.509965,5.136760,5.323496,15.220594,21.400427
226.0260925,0.367510,1.619677,5.895722,6.125190,15.732747,77.215866
226.0360260,-0.329203,2.142811,8.307879,8.586086,14.625257,98.734138
226.0460205,-0.848745,2.220622,10.485406,10.751524,12.774377,110.917366
226.0559387,-1.610101,1.916559,9.874885,10.187196,14.223940,130.033615
226.0655365,-2.296039,1.479617,9.058462,9.461331,16.780186,147.201401
226.0754547,-2.742558,0.879869,8.643068,9.110347,18.430290,162.212692
226.0852814,-2.841918,0.223858,8.481460,8.947724,18.578117,175.496109
226.0954742,-2.701857,-0.554258,8.491036,8.927762,17.995220,191.592804
226.1056213,-2.045845,-1.241394,7.540538,7.911148,17.607033,211.248856
226.1156311,-0.944513,-2.470816,4.668694,5.365980,29.535057,249.079773
226.1255341,-1.489193,-5.813122,-11.004948,12.534710,151.397003,255.631104
226.1355438,-2.318784,-12.290634,-25.113979,28.056166,153.525421,259.316010
226.1454468,-2.614468,-20.513519,-19.011158,28.090284,132.593124,262.736755
226.1554413,-5.577293,-27.844566,-18.036718,33.641479,122.421608,258.673492
226.1655121,-6.002264,-25.307909,-19.711462,32.635242,127.156425,256.657715
226.1755829,-3.900155,-17.507601,-14.921862,23.332151,129.757584,257.441315
226.1854706,-1.851915,-17.507601,-10.109517,20.301428,119.865837,263.961823
226.1953125,-1.851915,-10.078392,-8.046912,13.029058,128.142014,259.587982
226.2053528,0.399832,-4.539406,-8.046912,9.247642,150.477036,275.033630
226.2155151,1.765724,-1.054646,3.490746,4.051588,30.506140,329.150635
226.2256317,0.821211,-2.765303,11.068395,11.438123,14.607582,286.539825
226.2353058,1.435324,-8.798691,11.068395,14.212194,38.849567,279.265015
226.2453156,2.777274,-17.199945,13.472173,22.023870,52.286915,279.172363
226.2565460,-2.473210,-24.914063,-11.829751,27.690617,115.290726,264.330841
226.2662048,-8.468291,-28.334181,-9.563639,31.080557,107.920967,253.360077
226.2759399,-8.790312,-20.591331,-9.563639,24.346165,113.130028,246.882660
226.2860107,-5.876568,-9.911995,0.239420,11.525581,88.809715,239.337387
226.2959137,-4.880580,-3.472790,7.393295,9.515310,39.014256,215.433853
226.3069916,-7.375339,-5.009867,12.338518,15.222793,35.852329,214.187210
