Keuwl Accelerometer Data File
2019-04-23 13-21-05

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.8461673,9.346964,-4.338294,6.347029,12.102532,58.369576,335.102142
0.8559271,9.333796,-4.546589,8.006210,13.110706,52.362610,334.028809
0.8661124,8.914810,-4.747702,9.066842,13.572845,48.086082,331.961853
0.8760601,8.422802,-4.899734,9.500193,13.608992,45.726673,329.812469
0.8860021,8.169016,-4.733337,9.229648,13.203170,45.649338,329.910889
0.8960329,8.358158,-4.226963,8.595184,12.712326,47.458042,333.172943
0.9059674,8.857349,-3.610456,8.360553,12.703814,48.843838,337.823090
0.9153978,9.637859,-3.039439,8.787917,13.392311,48.989964,342.496582
0.9256846,10.658986,-2.475605,9.579201,14.543166,48.801201,346.924591
0.9361023,11.982980,-1.891419,10.515334,16.054331,49.081539,351.030304
0.9473683,13.351266,-1.404199,11.917139,17.951220,48.404892,353.996063
0.9555829,14.292187,-1.137246,13.378799,19.610003,46.980782,355.450500
0.9656188,14.626178,-1.148020,14.106636,20.352892,46.123814,355.512024
0.9762943,14.421474,-1.161188,13.819332,20.007528,46.313931,355.396606
0.9859322,14.022840,-1.005565,12.828133,19.031872,47.620808,355.898407
0.9984532,13.645753,-0.706290,11.629835,17.943201,49.597950,357.037079
1.0059372,13.352463,-0.252588,10.587160,17.042301,51.594109,358.916260
1.0159411,13.105860,0.144849,9.727641,16.322119,53.417538,0.633221
1.0285590,12.764687,0.349553,9.198523,15.737606,54.232811,1.568619
1.0358503,12.327744,0.377087,8.996213,15.265888,53.892532,1.752043
1.0459027,11.789049,0.227449,8.851364,14.743814,53.105438,1.105285
1.0559390,11.111490,-0.025139,8.534132,14.010612,52.474163,359.870361
1.0662769,10.339360,-0.260968,8.157045,13.172238,51.737858,358.554138
1.0762563,9.527725,-0.502782,7.772776,12.306355,50.831242,356.979279
1.0861044,8.789114,-0.711078,7.419631,11.524109,49.921574,355.374603
1.0961930,8.143877,-0.828394,7.056910,10.807818,49.236000,354.191864
1.1059228,7.694964,-0.798466,6.692991,10.229670,49.135494,354.075928
1.1157560,7.390901,-0.723049,6.295553,9.735615,49.710361,354.412567
1.1258212,7.155072,-0.705092,5.845443,9.266144,50.887966,354.371979
1.1357107,7.025785,-0.677559,5.431247,8.906132,52.422623,354.491486
1.1458372,6.797139,-0.764947,5.171476,8.574987,52.908588,353.578979
1.1556958,6.722919,-0.922965,4.818331,8.322608,54.623642,352.182953
1.1656719,7.492654,-0.744597,4.171896,8.608078,61.010521,354.324768
1.1758288,6.090849,-1.083376,4.241328,7.500734,55.566101,349.914307
